Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.authc.pam,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractAuthenticationStrategy]; [AllSuccessfulStrategy]; [AtLeastOneSuccessfulStrategy]; [AuthenticationStrategy]; [FirstSuccessfulStrategy]; [ModularRealmAuthenticator]; [UnsupportedTokenException]; [AllSuccessfulStrategyTest]; [ModularRealmAuthenticatorTest]; [LogoutAwareRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.authz.aop,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationsAuthorizingMethodInterceptor]; [AuthenticatedAnnotationHandler]; [AuthenticatedAnnotationMethodInterceptor]; [AuthorizingAnnotationHandler]; [AuthorizingAnnotationMethodInterceptor]; [AuthorizingMethodInterceptor]; [GuestAnnotationHandler]; [GuestAnnotationMethodInterceptor]; [PermissionAnnotationHandler]; [PermissionAnnotationMethodInterceptor]; [RoleAnnotationHandler]; [RoleAnnotationMethodInterceptor]; [UserAnnotationHandler]; [UserAnnotationMethodInterceptor]; [PermissionAnnotationHandlerTest]; [RoleAnnotationHandlerTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.authz,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthorizationException]; [AuthorizationInfo]; [Authorizer]; [HostUnauthorizedException]; [ModularRealmAuthorizer]; [Permission]; [SimpleAuthorizationInfo]; [SimpleRole]; [UnauthenticatedException]; [UnauthorizedException]; [AuthorizationExceptionTest]; [HostUnauthorizedExceptionTest]; [ModularRealmAuthorizerTest]; [MockAuthorizingRealm]; [UnauthenticatedExceptionTest]; [UnauthorizedExceptionTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.authz.permission,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllPermission]; [DomainPermission]; [InvalidPermissionStringException]; [PermissionResolver]; [PermissionResolverAware]; [RolePermissionResolver]; [RolePermissionResolverAware]; [WildcardPermission; WildcardPermissionResolver]; [AllPermissionTest]; [DomainPermissionTest]; [WildcardPermissionResolverTest]; [WildcardPermissionTest]. LCC (Lack of Component Cohesion) = 0.92
temp,org.apache.shiro.concurrent,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SubjectAwareExecutor]; [SubjectAwareExecutorService]; [SubjectAwareScheduledExecutorService]; [SubjectAwareExecutorServiceTest]; [DummyFuture]; [SubjectAwareExecutorTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.env,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.mgt
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.config
