Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.ki.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.io; org.apache.ki.util; org.apache.ki.subject; org.apache.ki.mgt
temp,org.apache.ki.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractResource; ResourceException; ResourceUtils; TextResource; IniResource]; [DefaultSerializer; SerializationException; Serializer; XmlSerializer]; [ResourceExceptionTest]; [SerializationExceptionTest]. LCC (Lack of Component Cohesion) = 0.36
temp,org.apache.ki,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki; org.apache.ki.mgt
temp,org.apache.ki,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki; org.apache.ki.subject; org.apache.ki.mgt
temp,org.apache.ki,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.ki.mgt
temp,org.apache.ki.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.mgt; org.apache.ki.subject
temp,org.apache.ki.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.mgt; org.apache.ki.io; org.apache.ki.util
temp,org.apache.ki.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.mgt; org.apache.ki.io; org.apache.ki.util; org.apache.ki.subject
temp,org.apache.ki.mgt,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.ki.authc.pam
temp,org.apache.ki.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.realm; org.apache.ki.mgt
temp,org.apache.ki.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.realm; org.apache.ki.subject; org.apache.ki.mgt
temp,org.apache.ki.realm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.ki.realm; org.apache.ki.authc.credential; org.apache.ki.util; org.apache.ki.mgt
