Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.config
temp,org.apache.shiro.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractRememberMeManager]; [AuthenticatingSecurityManager]; [AuthorizingSecurityManager]; [CachingSecurityManager]; [DefaultSecurityManager; RememberMeManager]; [DefaultSessionStorageEvaluator; SessionStorageEvaluator]; [DefaultSubjectDAO]; [DefaultSubjectFactory]; [RealmSecurityManager]; [SecurityManager]; [SessionsSecurityManager]; [SubjectDAO]; [SubjectFactory]; [AbstractRememberMeManagerTest]; [DummyRememberMeManager]; [AbstractSecurityManagerTest]; [DefaultSecurityManagerTest]; [VMSingletonDefaultSecurityManagerTest]; [DefaultSubjectDAOTest]. LCC (Lack of Component Cohesion) = 0.9
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.config; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.config; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject
temp,org.apache.shiro.realm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.authc.credential
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealm]; [AuthorizingRealm]; [CachingRealm]; [Realm]; [RealmFactory]; [SimpleAccountRealm]; [AuthorizingRealmTest; UserIdPrincipal; UsernamePrincipal]; [AllowAllRealm]; [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm.ldap,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractLdapRealm]; [DefaultLdapContextFactory]; [JndiLdapContextFactory; JndiLdapContextFactoryTest]; [JndiLdapRealm; LdapUtils]; [LdapContextFactory; JndiLdapRealmTest]. LCC (Lack of Component Cohesion) = 0.63
temp,org.apache.shiro.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.realm.text; org.apache.shiro.config
