Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
temp,org.apache.shiro.authc,ExpiredCredentialsExceptionTest,0,0,1,0,8,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\ExpiredCredentialsExceptionTest.java,24
temp,org.apache.shiro.authc,IncorrectCredentialsExceptionTest,0,0,1,0,8,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\IncorrectCredentialsExceptionTest.java,24
temp,org.apache.shiro.authc,LockedAccountExceptionTest,0,0,1,0,8,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\LockedAccountExceptionTest.java,24
temp,org.apache.shiro.authc,SimpleAuthenticationInfoTest,0,0,12,12,59,12,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\SimpleAuthenticationInfoTest.java,34
temp,org.apache.shiro.authc,UnknownAccountExceptionTest,0,0,1,0,8,1,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\UnknownAccountExceptionTest.java,24
temp,org.apache.shiro.authc.credential,AllowAllCredentialsMatcher,0,0,1,1,15,1,0,1,-1.0,2,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\AllowAllCredentialsMatcher.java,24
temp,org.apache.shiro.authc.credential,CredentialsMatcher,0,0,1,0,17,1,1,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\CredentialsMatcher.java,25
temp,org.apache.shiro.authc.credential,DefaultPasswordService,7,2,15,11,108,23,0,0,0.26666666666666666,1,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\DefaultPasswordService.java,30
temp,org.apache.shiro.authc.credential,HashedCredentialsMatcher,4,0,17,11,195,24,0,0,0.4117647058823529,0,3,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\HashedCredentialsMatcher.java,31
temp,org.apache.shiro.authc.credential,HashingPasswordService,0,0,2,0,22,2,0,0,-1.0,1,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\HashingPasswordService.java,24
temp,org.apache.shiro.authc.credential,Md2CredentialsMatcher,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\Md2CredentialsMatcher.java,26
temp,org.apache.shiro.authc.credential,Md5CredentialsMatcher,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\Md5CredentialsMatcher.java,26
temp,org.apache.shiro.authc.credential,PasswordMatcher,1,0,9,4,57,13,0,0,0.6666666666666666,0,2,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\PasswordMatcher.java,25
temp,org.apache.shiro.authc.credential,PasswordService,0,0,2,0,24,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\PasswordService.java,23
temp,org.apache.shiro.authc.credential,Sha1CredentialsMatcher,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\Sha1CredentialsMatcher.java,26
temp,org.apache.shiro.authc.credential,Sha256CredentialsMatcher,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\Sha256CredentialsMatcher.java,26
temp,org.apache.shiro.authc.credential,Sha384CredentialsMatcher,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\Sha384CredentialsMatcher.java,26
temp,org.apache.shiro.authc.credential,Sha512CredentialsMatcher,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\Sha512CredentialsMatcher.java,26
temp,org.apache.shiro.authc.credential,SimpleCredentialsMatcher,1,0,4,1,57,7,0,0,1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\credential\SimpleCredentialsMatcher.java,30
temp,org.apache.shiro.authc.credential,AbstractHashedCredentialsMatcherTest,0,0,3,3,14,3,3,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\AbstractHashedCredentialsMatcherTest.java,31
temp,org.apache.shiro.authc.credential,AllowAllCredentialsMatcherTest,0,0,1,1,8,1,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\AllowAllCredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,HashedCredentialsMatcherTest,0,0,7,7,57,7,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\HashedCredentialsMatcherTest.java,34
temp,org.apache.shiro.authc.credential,Md2CredentialsMatcherTest,0,0,2,2,11,2,0,1,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\Md2CredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,Md5CredentialsMatcherTest,0,0,2,2,11,2,0,1,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\Md5CredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,Sha1CredentialsMatcherTest,0,0,2,2,11,2,0,1,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\Sha1CredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,Sha256CredentialsMatcherTest,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\Sha256CredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,Sha384CredentialsMatcherTest,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\Sha384CredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,Sha512CredentialsMatcherTest,0,0,2,2,11,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\credential\Sha512CredentialsMatcherTest.java,25
temp,org.apache.shiro.authc.credential,DefaultPasswordServiceTest,0,0,7,7,17,7,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\authc\credential\DefaultPasswordServiceTest.java,11
temp,org.apache.shiro.authc.credential,PasswordMatcherTest,0,0,10,10,23,10,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\authc\credential\PasswordMatcherTest.java,11
temp,org.apache.shiro.authc.pam,AbstractAuthenticationStrategy,0,0,5,4,54,8,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\AbstractAuthenticationStrategy.java,27
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategy,1,0,2,2,41,6,0,0,1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\AllSuccessfulStrategy.java,31
temp,org.apache.shiro.authc.pam,AtLeastOneSuccessfulStrategy,0,0,1,1,16,2,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\AtLeastOneSuccessfulStrategy.java,26
temp,org.apache.shiro.authc.pam,AuthenticationStrategy,0,0,4,0,45,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\AuthenticationStrategy.java,29
temp,org.apache.shiro.authc.pam,FirstSuccessfulStrategy,0,0,2,1,22,3,0,0,-1.0,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\FirstSuccessfulStrategy.java,29
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticator,3,0,10,5,149,21,0,0,0.6,0,1,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\ModularRealmAuthenticator.java,30
temp,org.apache.shiro.authc.pam,UnsupportedTokenException,0,0,4,4,35,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authc\pam\UnsupportedTokenException.java,24
temp,org.apache.shiro.authc.pam,AllSuccessfulStrategyTest,1,0,7,5,28,7,0,0,0.7142857142857143,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authc\pam\AllSuccessfulStrategyTest.java,35
temp,org.apache.shiro.authc.pam,ModularRealmAuthenticatorTest,0,0,10,10,25,10,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\authc\pam\ModularRealmAuthenticatorTest.java,12
temp,org.apache.shiro.authc.pam,LogoutAwareRealm,0,0,0,0,2,0,0,1,-1.0,0,0,C:\Users\qurra\temp\temp\core\target\generated-sources\groovy-stubs\test\org\apache\shiro\authc\pam\ModularRealmAuthenticatorTest.java,26
temp,org.apache.shiro.authz.aop,AnnotationsAuthorizingMethodInterceptor,1,0,4,3,49,7,0,0,0.5,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\AnnotationsAuthorizingMethodInterceptor.java,27
temp,org.apache.shiro.authz.aop,AuthenticatedAnnotationHandler,0,0,2,2,22,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\AuthenticatedAnnotationHandler.java,27
temp,org.apache.shiro.authz.aop,AuthenticatedAnnotationMethodInterceptor,0,0,2,2,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\AuthenticatedAnnotationMethodInterceptor.java,23
temp,org.apache.shiro.authz.aop,AuthorizingAnnotationHandler,0,0,2,2,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\AuthorizingAnnotationHandler.java,26
temp,org.apache.shiro.authz.aop,AuthorizingAnnotationMethodInterceptor,0,0,4,4,46,5,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\AuthorizingAnnotationMethodInterceptor.java,27
temp,org.apache.shiro.authz.aop,AuthorizingMethodInterceptor,0,0,2,1,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\AuthorizingMethodInterceptor.java,25
temp,org.apache.shiro.authz.aop,GuestAnnotationHandler,0,0,2,2,22,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\GuestAnnotationHandler.java,28
temp,org.apache.shiro.authz.aop,GuestAnnotationMethodInterceptor,0,0,2,2,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\GuestAnnotationMethodInterceptor.java,23
temp,org.apache.shiro.authz.aop,PermissionAnnotationHandler,0,0,3,2,45,10,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\PermissionAnnotationHandler.java,29
temp,org.apache.shiro.authz.aop,PermissionAnnotationMethodInterceptor,0,0,2,2,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\PermissionAnnotationMethodInterceptor.java,23
temp,org.apache.shiro.authz.aop,RoleAnnotationHandler,0,0,2,2,35,9,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\RoleAnnotationHandler.java,28
temp,org.apache.shiro.authz.aop,RoleAnnotationMethodInterceptor,0,0,2,2,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\RoleAnnotationMethodInterceptor.java,25
temp,org.apache.shiro.authz.aop,UserAnnotationHandler,0,0,2,2,22,3,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\UserAnnotationHandler.java,28
temp,org.apache.shiro.authz.aop,UserAnnotationMethodInterceptor,0,0,2,2,19,2,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\aop\UserAnnotationMethodInterceptor.java,23
temp,org.apache.shiro.authz.aop,PermissionAnnotationHandlerTest,0,0,8,8,37,8,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authz\aop\PermissionAnnotationHandlerTest.java,29
temp,org.apache.shiro.authz.aop,RoleAnnotationHandlerTest,1,0,13,12,63,13,0,0,0.9230769230769231,0,1,C:\Users\qurra\temp\temp\core\src\test\java\org\apache\shiro\authz\aop\RoleAnnotationHandlerTest.java,34
temp,org.apache.shiro.authz,AuthorizationException,0,0,4,4,34,4,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\AuthorizationException.java,24
temp,org.apache.shiro.authz,AuthorizationInfo,0,0,3,0,23,3,1,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\AuthorizationInfo.java,24
temp,org.apache.shiro.authz,Authorizer,0,0,16,0,126,16,0,0,-1.0,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\Authorizer.java,26
temp,org.apache.shiro.authz,HostUnauthorizedException,1,0,6,6,49,6,0,0,0.8333333333333334,0,0,C:\Users\qurra\temp\temp\core\src\main\java\org\apache\shiro\authz\HostUnauthorizedException.java,21
