Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.crypto.hash,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractHash]; [Hash]; [Md2Hash]; [Md5Hash]; [Sha1Hash]; [Sha256Hash]; [Sha384Hash]; [Sha512Hash]; [DefaultHashServiceTest]; [HashRequestBuilderTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractResource; ResourceException; ResourceUtils; TextResource; IniResource]; [DefaultSerializer; SerializationException; Serializer; XmlSerializer]; [ResourceExceptionTest]; [SerializationExceptionTest]. LCC (Lack of Component Cohesion) = 0.36
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject.support
temp,org.apache.shiro.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractRememberMeManager]; [AuthenticatingSecurityManager]; [AuthorizingSecurityManager]; [CachingSecurityManager]; [DefaultSecurityManager; RememberMeManager]; [DefaultSubjectFactory]; [RealmSecurityManager]; [SecurityManager]; [SecurityManagerFactory]; [SessionsSecurityManager]; [SubjectFactory]; [AbstractRememberMeManagerTest]; [DummyRememberMeManager]; [AbstractSecurityManagerTest]; [DefaultSecurityManagerTest]; [VMSingletonDefaultSecurityManagerTest]; [DefaultSubjectDAOTest]. LCC (Lack of Component Cohesion) = 0.94
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject
temp,org.apache.shiro.realm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.authc.credential
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealm]; [AuthorizingRealm]; [CachingRealm]; [Realm]; [RealmFactory]; [SimpleAccountRealm]; [AuthorizingRealmTest; UserIdPrincipal; UsernamePrincipal]; [AllowAllRealm]; [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm.text,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.realm.text; org.apache.shiro.config
temp,org.apache.shiro.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpiredSessionException]; [InvalidSessionException]; [ProxiedSession]; [Session]; [SessionException]; [SessionListener; SessionListenerAdapter]; [StoppedSessionException]; [UnknownSessionException]. LCC (Lack of Component Cohesion) = 0.89
temp,org.apache.shiro.session.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSessionManager; SessionFactory; SimpleSessionFactory; DelegatingSessionTest]; [AbstractValidatingSessionManager; ValidatingSession]; [DefaultSessionManager; ExecutorServiceSessionValidationScheduler; SimpleSession]; [DelegatingSession]; [ImmutableProxiedSession]; [LocalSessionManager; SessionManager; ValidatingSessionManager]; [SessionValidationScheduler]; [DefaultSessionManagerTest]; [SessionTimeoutMatcher]. LCC (Lack of Component Cohesion) = 0.53
temp,org.apache.shiro.session.mgt.eis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSessionDAO]; [CachingSessionDAO]; [EnterpriseCacheSessionDAO]; [JavaUuidSessionIdGenerator]; [MemorySessionDAO]; [RandomSessionIdGenerator]; [SessionDAO]; [SessionIdGenerator]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro.subject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.mgt
temp,org.apache.shiro.subject,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExecutionException]; [MutablePrincipalCollection]; [PrincipalCollection]; [SimplePrincipalCollection]; [Subject]; [Builder]; [SubjectContext]; [DelegatingSubjectTest]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.subject.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject.support; org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject.support; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultSubjectContext]; [DelegatingSubject]; [StoppingAwareProxiedSession]; [SubjectCallable]; [SubjectRunnable]; [SubjectThreadState]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.util; org.apache.shiro.codec
temp,org.apache.shiro.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.codec
