Project Name,Package Name,Architecture Smell,Cause of the Smell
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro.mgt,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.mgt; org.apache.shiro.subject.support; org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.ini
temp,org.apache.shiro.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractRememberMeManager]; [AuthenticatingSecurityManager]; [AuthorizingSecurityManager]; [CachingSecurityManager]; [DefaultSecurityManager; RememberMeManager]; [DefaultSessionStorageEvaluator; SessionStorageEvaluator]; [DefaultSubjectDAO]; [DefaultSubjectFactory]; [RealmSecurityManager]; [SecurityManager]; [SessionsSecurityManager]; [SubjectDAO]; [SubjectFactory]; [AbstractRememberMeManagerTest]; [DummyRememberMeManager]; [AbstractSecurityManagerTest]; [DefaultSecurityManagerTest]; [VMSingletonDefaultSecurityManagerTest]; [DefaultSubjectDAOTest]. LCC (Lack of Component Cohesion) = 0.9
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.ini; org.apache.shiro.mgt
temp,org.apache.shiro,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro; org.apache.shiro.subject; org.apache.shiro.ini; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.subject
temp,org.apache.shiro.realm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.authc.credential
temp,org.apache.shiro.realm,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticatingRealm]; [AuthorizingRealm]; [CachingRealm]; [Realm]; [RealmFactory]; [SimpleAccountRealm]; [AuthorizingRealmTest; UserIdPrincipal; UsernamePrincipal]; [AllowAllRealm]; [AuthenticatingRealmIntegrationTest]; [AuthenticatingRealmTest]; [TestAuthenticatingRealm]; [NoLookupAuthenticatingRealm]; [CachingRealmTest]; [TestCachingRealm]; [TestAuthenticatingRealm]. LCC (Lack of Component Cohesion) = 0.88
temp,org.apache.shiro.realm.ldap,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractLdapRealm]; [DefaultLdapRealm; LdapUtils]; [JndiLdapContextFactory; JndiLdapContextFactoryTest]; [JndiLdapRealm]; [LdapContextFactory; DefaultLdapRealmTest]; [JndiLdapRealmTest]. LCC (Lack of Component Cohesion) = 0.67
temp,org.apache.shiro.realm.text,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IniRealm]; [PropertiesRealm]; [TextConfigurationRealm]; [IniRealmTest]; [TextConfigurationRealmTest]; [TestThread]; [TestRealm]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.session,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpiredSessionException]; [InvalidSessionException]; [ProxiedSession]; [Session]; [SessionException]; [SessionListener; SessionListenerAdapter]; [StoppedSessionException]; [UnknownSessionException]. LCC (Lack of Component Cohesion) = 0.89
temp,org.apache.shiro.session.mgt,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.session.mgt.eis
temp,org.apache.shiro.session.mgt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractNativeSessionManager]; [AbstractSessionManager; SessionManager; ValidatingSessionManager; AbstractValidatingSessionManagerTest; DelegatingSessionTest]; [AbstractValidatingSessionManager; ValidatingSession]; [DefaultSessionContext]; [DefaultSessionKey; SessionKey]; [DefaultSessionManager; ExecutorServiceSessionValidationScheduler; SimpleSession]; [DelegatingSession]; [ImmutableProxiedSession]; [NativeSessionManager]; [SessionContext]; [SessionFactory]; [SessionValidationScheduler]; [SimpleSessionFactory]; [DefaultSessionManagerTest]; [SessionTimeoutMatcher]; [ExecutorServiceSessionValidationSchedulerTest]; [FakeDefaultSessionManager]; [SimpleSessionTest]. LCC (Lack of Component Cohesion) = 0.69
temp,org.apache.shiro.session.mgt.eis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSessionDAO]; [CachingSessionDAO]; [EnterpriseCacheSessionDAO]; [JavaUuidSessionIdGenerator]; [MemorySessionDAO]; [RandomSessionIdGenerator]; [SessionDAO]; [SessionIdGenerator]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro.ini; org.apache.shiro.mgt
temp,org.apache.shiro.subject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject; org.apache.shiro.ini; org.apache.shiro.mgt; org.apache.shiro.subject.support
temp,org.apache.shiro.subject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.ini; org.apache.shiro.mgt
temp,org.apache.shiro.subject,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExecutionException]; [MutablePrincipalCollection]; [PrincipalCollection; PrincipalMap]; [SimplePrincipalCollection]; [SimplePrincipalMap]; [Subject; DelegatingSubjectTest]; [Builder]; [SubjectContext]; [SimplePrincipalCollectionTest]. LCC (Lack of Component Cohesion) = 0.82
temp,org.apache.shiro.subject.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject.support; org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.subject.support; org.apache.shiro.subject; org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.mgt
temp,org.apache.shiro.subject.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultSubjectContext]; [DelegatingSubject; DisabledSessionException]; [StoppingAwareProxiedSession]; [SubjectCallable]; [SubjectRunnable]; [SubjectThreadState]. LCC (Lack of Component Cohesion) = 0.86
temp,org.apache.shiro.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.lang.util
temp,org.apache.shiro.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractFactory]; [AntPathMatcher]; [CollectionUtils; MapContext; ThreadContext]; [JavaEnvironment]; [JdbcUtils]; [PatternMatcher]; [PermissionUtils]; [RegExPatternMatcher]; [InheritableThreadLocalMap]; [ThreadState]; [AntPathMatcherTests]; [RegExPatternMatcherTest]; [StringUtilsTest]; [ByteSourceWrapper; ByteUtils]. LCC (Lack of Component Cohesion) = 0.82
temp,org.apache.shiro.lang.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SerializationExceptionTest]; [ClassResolvingObjectInputStream; DefaultSerializer; SerializationException; Serializer; XmlSerializer]; [ResourceUtils]. LCC (Lack of Component Cohesion) = 0.43
temp,org.apache.shiro.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractShiroTest; ExampleShiroUnitTest]; [ExampleShiroIntegrationTest]; [SecurityManagerTestSupport]; [ContainerIntegrationIT]; [WebAppContainerIntegrationIT]. LCC (Lack of Component Cohesion) = 0.83
temp,org.apache.shiro.lang.codec,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.lang.codec; org.apache.shiro.lang.util
temp,org.apache.shiro.lang.codec,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [H64Test]; [Base64; CodecSupport; Hex; CodecException]; [H64]. LCC (Lack of Component Cohesion) = 0.5
temp,org.apache.shiro.crypto.cipher,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSymmetricCipherService]; [AesCipherService]; [BlowfishCipherService]; [ByteSourceBroker]; [ByteSourceUser]; [CipherService; JcaCipherService]; [DefaultBlockCipherService]; [SimpleByteSourceBroker]; [AesCipherServiceTest]; [BlowfishCipherServiceTest]; [JcaCipherServiceTest]. LCC (Lack of Component Cohesion) = 0.92
temp,org.apache.shiro.crypto.hash,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractCryptHash]; [AbstractHash]; [ConfigurableHashService; HashService]; [DefaultHashService; HashProvider; HashSpi; SimpleHashProvider; SimpleHashFactory; Parameters; Sha256Hash; Sha384Hash; Sha512Hash]; [Hash]; [HashRequest]; [Builder]; [HashFactory]; [SimpleHash]; [SimpleHashRequest]; [DefaultHashServiceTest]; [HashRequestBuilderTest]. LCC (Lack of Component Cohesion) = 0.57
temp,org.apache.shiro.crypto.hash.format,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64Format]; [DefaultHashFormatFactory; HashFormat; ModularCryptFormat]; [HashFormatFactory]; [HexFormat]; [ParsableHashFormat]; [Shiro1CryptFormat; Shiro2CryptFormat]; [Base64FormatTest]; [DefaultHashFormatFactoryTest]; [HexFormatTest]; [ProvidedHashFormatTest]; [Shiro1CryptFormatTest]; [ToStringHashFormat]. LCC (Lack of Component Cohesion) = 0.8
temp,org.apache.shiro.crypto.support.hashes.bcrypt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BCryptHash; BCryptProvider; BCryptHashFactory; Parameters; OpenBSDBase64; Default]; [BCryptHashTest]. LCC (Lack of Component Cohesion) = 0.29
temp,org.apache.shiro.event.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationEventListenerResolver]; [DefaultEventBus]; [Subscription]; [EventClassComparator]; [EventListener; TypedEventListener]; [EventListenerComparator]; [EventListenerResolver]; [SingleArgumentMethodEventListener]; [AnnotationEventListenerResolverTest]; [BarEvent; BazEvent; FooEvent; SubclassTestSubscriber; TestSubscriber; ErroneouslyAnnotatedSubscriber; ErrorCausingEvent; ExceptionThrowingSubscriber]; [DefaultEventBusTest]; [EventClassComparatorTest]; [EventListenerComparatorTest]; [InvalidMethodModifierSubscriber]; [NotAnnotatedSubscriber]; [SimpleEvent; SimpleSubscriber]; [SingleArgumentMethodEventListenerTest]. LCC (Lack of Component Cohesion) = 0.65
temp,org.apache.shiro.samples.guice,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SampleShiroGuiceBootstrap]; [SampleShiroServletModule]; [ContainerIntegrationIT]; [SampleShiroGuiceBootstrap]; [SampleShiroServletModule]; [ContainerIntegrationIT]; [SampleShiroGuiceBootstrap]; [SampleShiroNativeSessionsServletModule]; [SampleShiroServletModule]; [ContainerIntegrationIT]. LCC (Lack of Component Cohesion) = 1.0
temp,org.apache.shiro.lang.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.shiro.lang.util; org.apache.shiro.lang.codec
temp,org.apache.shiro.lang.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.shiro.lang.codec
